,LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
17941,65317,YOUNG SINGLES/COUPLES,Mainstream
17942,65318,YOUNG SINGLES/COUPLES,Premium
17943,65319,OLDER FAMILIES,Premium
17944,65320,OLDER SINGLES/COUPLES,Budget
17945,65321,RETIREES,Budget
17946,65322,OLDER SINGLES/COUPLES,Premium
17947,65323,OLDER FAMILIES,Premium
17948,65324,OLDER SINGLES/COUPLES,Mainstream
17949,65325,MIDAGE SINGLES/COUPLES,Budget
17950,65326,MIDAGE SINGLES/COUPLES,Mainstream
17951,65327,MIDAGE SINGLES/COUPLES,Premium
17952,65328,RETIREES,Premium
17953,65329,YOUNG FAMILIES,Budget
17954,65330,OLDER SINGLES/COUPLES,Premium
17955,65331,YOUNG SINGLES/COUPLES,Premium
17956,65332,YOUNG SINGLES/COUPLES,Mainstream
17957,65333,RETIREES,Mainstream
17958,65334,RETIREES,Budget
17959,65335,RETIREES,Budget
17960,65336,OLDER SINGLES/COUPLES,Premium
17961,65337,NEW FAMILIES,Premium
17962,65338,YOUNG SINGLES/COUPLES,Premium
17963,65339,YOUNG FAMILIES,Budget
17964,65340,YOUNG FAMILIES,Premium
17965,65341,RETIREES,Mainstream
17966,65342,OLDER SINGLES/COUPLES,Premium
17967,65343,YOUNG SINGLES/COUPLES,Mainstream
17968,65344,OLDER SINGLES/COUPLES,Premium
17969,65345,YOUNG SINGLES/COUPLES,Mainstream
17970,65346,RETIREES,Mainstream
17971,65347,YOUNG SINGLES/COUPLES,Premium
17972,65348,YOUNG SINGLES/COUPLES,Mainstream
17973,65349,RETIREES,Mainstream
17974,65350,OLDER SINGLES/COUPLES,Mainstream
17975,65351,YOUNG FAMILIES,Mainstream
17976,65352,OLDER SINGLES/COUPLES,Budget
17977,65353,YOUNG SINGLES/COUPLES,Budget
17978,65354,MIDAGE SINGLES/COUPLES,Mainstream
17979,65355,YOUNG FAMILIES,Premium
17980,65356,RETIREES,Mainstream
17981,65357,RETIREES,Mainstream
17982,65358,OLDER FAMILIES,Budget
17983,65359,YOUNG SINGLES/COUPLES,Mainstream
17984,65361,YOUNG FAMILIES,Premium
17985,65362,RETIREES,Premium
17986,65363,OLDER SINGLES/COUPLES,Premium
17987,65364,YOUNG SINGLES/COUPLES,Mainstream
17988,65365,MIDAGE SINGLES/COUPLES,Mainstream
17989,65366,OLDER FAMILIES,Premium
17990,65367,NEW FAMILIES,Mainstream
17991,65368,NEW FAMILIES,Mainstream
17992,65369,OLDER SINGLES/COUPLES,Mainstream
17993,65370,MIDAGE SINGLES/COUPLES,Mainstream
17994,65371,YOUNG FAMILIES,Budget
17995,65372,YOUNG SINGLES/COUPLES,Premium
17996,65373,OLDER SINGLES/COUPLES,Budget
17997,65375,RETIREES,Budget
17998,65376,YOUNG FAMILIES,Premium
17999,65378,OLDER FAMILIES,Budget
18000,65379,RETIREES,Premium
18001,65380,YOUNG FAMILIES,Budget
18002,66000,OLDER FAMILIES,Budget
18003,66001,YOUNG FAMILIES,Premium
18004,66004,OLDER SINGLES/COUPLES,Premium
18005,66005,OLDER SINGLES/COUPLES,Budget
18006,66006,OLDER SINGLES/COUPLES,Premium
18007,66007,RETIREES,Mainstream
18008,66008,RETIREES,Mainstream
18009,66009,YOUNG SINGLES/COUPLES,Mainstream
18010,66010,YOUNG FAMILIES,Budget
18011,66011,YOUNG SINGLES/COUPLES,Mainstream
18012,66013,YOUNG SINGLES/COUPLES,Mainstream
18013,66014,OLDER FAMILIES,Budget
18014,66015,OLDER SINGLES/COUPLES,Budget
18015,66016,YOUNG SINGLES/COUPLES,Mainstream
18016,66019,OLDER SINGLES/COUPLES,Budget
18017,66020,RETIREES,Mainstream
18018,66021,MIDAGE SINGLES/COUPLES,Premium
18019,66023,YOUNG FAMILIES,Mainstream
18020,66024,RETIREES,Budget
18021,66026,YOUNG FAMILIES,Budget
18022,66027,YOUNG SINGLES/COUPLES,Budget
18023,66028,OLDER FAMILIES,Premium
18024,66029,YOUNG SINGLES/COUPLES,Budget
18025,66031,OLDER SINGLES/COUPLES,Budget
18026,66032,OLDER SINGLES/COUPLES,Mainstream
18027,66033,OLDER FAMILIES,Budget
18028,66034,RETIREES,Budget
18029,66035,YOUNG SINGLES/COUPLES,Mainstream
18030,66039,RETIREES,Mainstream
18031,66041,YOUNG FAMILIES,Budget
18032,66042,RETIREES,Mainstream
18033,66043,OLDER SINGLES/COUPLES,Premium
18034,66044,YOUNG FAMILIES,Mainstream
18035,66045,RETIREES,Premium
18036,66046,RETIREES,Mainstream
18037,66048,NEW FAMILIES,Mainstream
18038,66050,YOUNG SINGLES/COUPLES,Mainstream
18039,66051,MIDAGE SINGLES/COUPLES,Premium
18040,66055,OLDER SINGLES/COUPLES,Mainstream
18041,66056,OLDER SINGLES/COUPLES,Budget
18042,66057,OLDER SINGLES/COUPLES,Premium
18043,66058,YOUNG SINGLES/COUPLES,Mainstream
18044,66059,OLDER FAMILIES,Premium
18045,66060,RETIREES,Mainstream
18046,66062,OLDER FAMILIES,Mainstream
18047,66063,YOUNG FAMILIES,Budget
18048,66065,YOUNG FAMILIES,Mainstream
18049,66066,YOUNG FAMILIES,Premium
18050,66067,MIDAGE SINGLES/COUPLES,Premium
18051,66068,YOUNG SINGLES/COUPLES,Mainstream
18052,66069,RETIREES,Premium
18053,66070,RETIREES,Mainstream
18054,66071,RETIREES,Budget
18055,66072,YOUNG SINGLES/COUPLES,Budget
18056,66073,OLDER SINGLES/COUPLES,Budget
18057,66076,RETIREES,Budget
18058,66078,OLDER FAMILIES,Premium
18059,66079,YOUNG SINGLES/COUPLES,Mainstream
18060,66080,OLDER FAMILIES,Premium
18061,66081,YOUNG FAMILIES,Premium
18062,66082,YOUNG FAMILIES,Budget
18063,66083,MIDAGE SINGLES/COUPLES,Mainstream
18064,66084,MIDAGE SINGLES/COUPLES,Mainstream
18065,66085,MIDAGE SINGLES/COUPLES,Mainstream
18066,66086,YOUNG SINGLES/COUPLES,Mainstream
18067,66087,MIDAGE SINGLES/COUPLES,Mainstream
18068,66088,YOUNG SINGLES/COUPLES,Premium
18069,66089,YOUNG SINGLES/COUPLES,Budget
18070,66090,YOUNG SINGLES/COUPLES,Mainstream
18071,66091,RETIREES,Premium
18072,66092,YOUNG SINGLES/COUPLES,Mainstream
18073,66093,YOUNG SINGLES/COUPLES,Mainstream
18074,66094,OLDER FAMILIES,Budget
18075,66095,YOUNG FAMILIES,Mainstream
18076,66096,RETIREES,Budget
18077,66098,MIDAGE SINGLES/COUPLES,Premium
18078,66099,OLDER SINGLES/COUPLES,Premium
18079,66100,MIDAGE SINGLES/COUPLES,Mainstream
18080,66101,YOUNG SINGLES/COUPLES,Mainstream
18081,66103,NEW FAMILIES,Premium
18082,66105,RETIREES,Budget
18083,66106,RETIREES,Premium
18084,66107,MIDAGE SINGLES/COUPLES,Mainstream
18085,66108,OLDER FAMILIES,Premium
18086,66110,OLDER SINGLES/COUPLES,Mainstream
18087,66111,YOUNG SINGLES/COUPLES,Mainstream
18088,66112,YOUNG SINGLES/COUPLES,Mainstream
18089,66115,NEW FAMILIES,Budget
18090,66116,OLDER SINGLES/COUPLES,Premium
18091,66117,RETIREES,Budget
18092,66118,OLDER SINGLES/COUPLES,Premium
18093,66119,YOUNG SINGLES/COUPLES,Mainstream
18094,66120,YOUNG FAMILIES,Budget
18095,66121,MIDAGE SINGLES/COUPLES,Mainstream
18096,66122,OLDER SINGLES/COUPLES,Budget
18097,66123,MIDAGE SINGLES/COUPLES,Premium
18098,66124,OLDER SINGLES/COUPLES,Budget
18099,66126,YOUNG FAMILIES,Premium
18100,66127,YOUNG SINGLES/COUPLES,Mainstream
18101,66128,RETIREES,Budget
18102,66129,YOUNG FAMILIES,Mainstream
18103,66130,NEW FAMILIES,Budget
18104,66131,OLDER FAMILIES,Premium
18105,66133,OLDER SINGLES/COUPLES,Premium
18106,66134,MIDAGE SINGLES/COUPLES,Premium
18107,66135,RETIREES,Premium
18108,66136,NEW FAMILIES,Mainstream
18109,66137,OLDER FAMILIES,Mainstream
18110,66138,OLDER SINGLES/COUPLES,Mainstream
18111,66139,YOUNG SINGLES/COUPLES,Mainstream
18112,66140,RETIREES,Premium
18113,66141,YOUNG SINGLES/COUPLES,Mainstream
18114,66142,RETIREES,Mainstream
18115,66145,RETIREES,Mainstream
18116,66147,OLDER SINGLES/COUPLES,Budget
18117,66148,NEW FAMILIES,Mainstream
18118,66151,RETIREES,Premium
18119,66152,OLDER FAMILIES,Premium
18120,66153,OLDER FAMILIES,Budget
18121,66154,YOUNG FAMILIES,Mainstream
18122,66155,OLDER SINGLES/COUPLES,Mainstream
18123,66157,YOUNG FAMILIES,Premium
18124,66159,RETIREES,Premium
18125,66161,RETIREES,Mainstream
18126,66162,RETIREES,Budget
18127,66163,YOUNG SINGLES/COUPLES,Budget
18128,66164,OLDER SINGLES/COUPLES,Budget
18129,66165,OLDER SINGLES/COUPLES,Budget
18130,66166,RETIREES,Mainstream
18131,66167,RETIREES,Mainstream
18132,66169,RETIREES,Budget
18133,66170,OLDER FAMILIES,Budget
18134,66171,YOUNG SINGLES/COUPLES,Mainstream
18135,66172,YOUNG SINGLES/COUPLES,Budget
18136,66173,YOUNG SINGLES/COUPLES,Premium
18137,66174,NEW FAMILIES,Premium
18138,66175,RETIREES,Mainstream
18139,66176,RETIREES,Mainstream
18140,66177,YOUNG SINGLES/COUPLES,Budget
18141,66178,YOUNG SINGLES/COUPLES,Mainstream
18142,66179,NEW FAMILIES,Budget
18143,66180,OLDER SINGLES/COUPLES,Mainstream
18144,66182,YOUNG SINGLES/COUPLES,Premium
18145,66183,YOUNG SINGLES/COUPLES,Budget
18146,66184,YOUNG FAMILIES,Budget
18147,66185,MIDAGE SINGLES/COUPLES,Premium
18148,66187,YOUNG FAMILIES,Budget
18149,66188,YOUNG SINGLES/COUPLES,Premium
18150,66190,RETIREES,Mainstream
18151,66192,OLDER SINGLES/COUPLES,Premium
18152,66194,OLDER FAMILIES,Premium
18153,66195,MIDAGE SINGLES/COUPLES,Premium
18154,66197,OLDER SINGLES/COUPLES,Mainstream
18155,66198,YOUNG SINGLES/COUPLES,Mainstream
18156,66199,RETIREES,Premium
18157,66200,YOUNG SINGLES/COUPLES,Premium
18158,66201,YOUNG SINGLES/COUPLES,Mainstream
18159,66202,NEW FAMILIES,Budget
18160,66203,YOUNG SINGLES/COUPLES,Mainstream
18161,66204,MIDAGE SINGLES/COUPLES,Premium
18162,66206,MIDAGE SINGLES/COUPLES,Premium
18163,66207,YOUNG FAMILIES,Premium
18164,66208,YOUNG SINGLES/COUPLES,Mainstream
18165,66209,YOUNG FAMILIES,Budget
18166,66210,YOUNG SINGLES/COUPLES,Mainstream
18167,66211,YOUNG SINGLES/COUPLES,Budget
18168,66212,OLDER SINGLES/COUPLES,Mainstream
18169,66213,OLDER SINGLES/COUPLES,Budget
18170,66214,OLDER FAMILIES,Budget
18171,66216,YOUNG FAMILIES,Premium
18172,66217,YOUNG FAMILIES,Budget
18173,66218,RETIREES,Budget
18174,66219,YOUNG SINGLES/COUPLES,Premium
18175,66222,RETIREES,Premium
18176,66224,OLDER FAMILIES,Budget
18177,66225,OLDER FAMILIES,Mainstream
18178,66226,YOUNG SINGLES/COUPLES,Mainstream
18179,66228,YOUNG SINGLES/COUPLES,Budget
18180,66229,YOUNG FAMILIES,Budget
18181,66230,YOUNG SINGLES/COUPLES,Mainstream
18182,66231,OLDER FAMILIES,Budget
18183,66232,OLDER FAMILIES,Mainstream
18184,66233,YOUNG FAMILIES,Budget
18185,66234,YOUNG SINGLES/COUPLES,Premium
18186,66235,OLDER FAMILIES,Mainstream
18187,66236,MIDAGE SINGLES/COUPLES,Mainstream
18188,66239,OLDER SINGLES/COUPLES,Mainstream
18189,66240,OLDER FAMILIES,Premium
18190,66241,RETIREES,Mainstream
18191,66242,NEW FAMILIES,Budget
18192,66243,OLDER FAMILIES,Budget
18193,66245,OLDER SINGLES/COUPLES,Mainstream
18194,66246,MIDAGE SINGLES/COUPLES,Premium
18195,66247,YOUNG SINGLES/COUPLES,Mainstream
18196,66248,YOUNG SINGLES/COUPLES,Mainstream
18197,66252,YOUNG FAMILIES,Budget
18198,66254,RETIREES,Premium
18199,66255,YOUNG SINGLES/COUPLES,Mainstream
18200,66257,YOUNG SINGLES/COUPLES,Premium
18201,66258,YOUNG SINGLES/COUPLES,Mainstream
18202,66262,RETIREES,Premium
18203,66263,YOUNG SINGLES/COUPLES,Mainstream
18204,66264,OLDER FAMILIES,Mainstream
18205,66265,MIDAGE SINGLES/COUPLES,Budget
18206,66267,YOUNG FAMILIES,Premium
18207,66268,YOUNG SINGLES/COUPLES,Mainstream
18208,66269,RETIREES,Budget
18209,66270,YOUNG SINGLES/COUPLES,Mainstream
18210,66271,MIDAGE SINGLES/COUPLES,Mainstream
18211,66272,MIDAGE SINGLES/COUPLES,Mainstream
18212,66274,RETIREES,Budget
18213,66276,YOUNG SINGLES/COUPLES,Premium
18214,66277,YOUNG FAMILIES,Premium
18215,66278,OLDER FAMILIES,Budget
18216,66279,YOUNG FAMILIES,Budget
18217,66280,YOUNG SINGLES/COUPLES,Premium
18218,66281,YOUNG FAMILIES,Mainstream
18219,66282,YOUNG SINGLES/COUPLES,Mainstream
18220,66285,OLDER SINGLES/COUPLES,Budget
18221,66286,RETIREES,Mainstream
18222,66287,OLDER SINGLES/COUPLES,Budget
18223,66288,OLDER SINGLES/COUPLES,Premium
18224,66289,OLDER SINGLES/COUPLES,Budget
18225,66290,YOUNG SINGLES/COUPLES,Budget
18226,66291,YOUNG SINGLES/COUPLES,Mainstream
18227,66293,MIDAGE SINGLES/COUPLES,Budget
18228,66294,RETIREES,Premium
18229,66296,YOUNG SINGLES/COUPLES,Mainstream
18230,66297,MIDAGE SINGLES/COUPLES,Mainstream
18231,66298,OLDER SINGLES/COUPLES,Budget
18232,66299,OLDER FAMILIES,Budget
18233,66300,RETIREES,Mainstream
18234,66301,OLDER SINGLES/COUPLES,Mainstream
18235,66303,OLDER SINGLES/COUPLES,Premium
18236,66304,RETIREES,Mainstream
18237,66305,RETIREES,Budget
18238,66306,OLDER SINGLES/COUPLES,Mainstream
18239,66307,YOUNG FAMILIES,Budget
18240,66309,RETIREES,Mainstream
18241,66310,YOUNG FAMILIES,Mainstream
18242,66311,YOUNG FAMILIES,Premium
18243,66313,YOUNG SINGLES/COUPLES,Mainstream
18244,66314,YOUNG SINGLES/COUPLES,Budget
18245,66315,YOUNG SINGLES/COUPLES,Budget
18246,66316,MIDAGE SINGLES/COUPLES,Premium
18247,66317,OLDER SINGLES/COUPLES,Budget
18248,66319,OLDER FAMILIES,Premium
18249,66320,OLDER FAMILIES,Mainstream
18250,66321,OLDER FAMILIES,Budget
18251,66322,OLDER FAMILIES,Budget
18252,66323,NEW FAMILIES,Budget
18253,66324,YOUNG SINGLES/COUPLES,Mainstream
18254,66325,YOUNG FAMILIES,Budget
18255,66326,OLDER SINGLES/COUPLES,Budget
18256,66327,YOUNG SINGLES/COUPLES,Mainstream
18257,66328,MIDAGE SINGLES/COUPLES,Budget
18258,66329,NEW FAMILIES,Mainstream
18259,66330,MIDAGE SINGLES/COUPLES,Budget
18260,66331,OLDER SINGLES/COUPLES,Mainstream
18261,66332,RETIREES,Mainstream
18262,66333,RETIREES,Budget
18263,66334,OLDER SINGLES/COUPLES,Budget
18264,66335,OLDER FAMILIES,Budget
18265,66336,MIDAGE SINGLES/COUPLES,Premium
18266,66337,RETIREES,Mainstream
18267,66338,NEW FAMILIES,Mainstream
18268,66340,YOUNG SINGLES/COUPLES,Budget
18269,66341,YOUNG SINGLES/COUPLES,Mainstream
18270,66342,OLDER SINGLES/COUPLES,Budget
18271,66343,OLDER FAMILIES,Budget
18272,66345,RETIREES,Budget
18273,66346,OLDER FAMILIES,Budget
18274,66347,YOUNG FAMILIES,Budget
18275,66348,OLDER SINGLES/COUPLES,Mainstream
18276,66350,OLDER FAMILIES,Mainstream
18277,66351,YOUNG SINGLES/COUPLES,Mainstream
18278,66352,RETIREES,Budget
18279,66353,RETIREES,Premium
18280,66354,OLDER SINGLES/COUPLES,Mainstream
18281,66355,MIDAGE SINGLES/COUPLES,Mainstream
18282,66356,YOUNG SINGLES/COUPLES,Mainstream
18283,66357,OLDER FAMILIES,Mainstream
18284,66358,MIDAGE SINGLES/COUPLES,Mainstream
18285,66359,RETIREES,Mainstream
18286,66360,YOUNG FAMILIES,Budget
18287,66361,OLDER SINGLES/COUPLES,Budget
18288,66362,YOUNG SINGLES/COUPLES,Mainstream
18289,66363,OLDER SINGLES/COUPLES,Mainstream
18290,66364,OLDER SINGLES/COUPLES,Mainstream
18291,66365,RETIREES,Premium
18292,66367,OLDER SINGLES/COUPLES,Budget
18293,66368,YOUNG SINGLES/COUPLES,Mainstream
18294,66370,OLDER SINGLES/COUPLES,Mainstream
18295,66371,OLDER SINGLES/COUPLES,Premium
18296,66372,OLDER SINGLES/COUPLES,Premium
18297,66373,YOUNG FAMILIES,Premium
18298,66375,RETIREES,Mainstream
18299,66376,OLDER FAMILIES,Mainstream
18300,66377,OLDER SINGLES/COUPLES,Budget
18301,66378,RETIREES,Budget
18302,66379,OLDER FAMILIES,Mainstream
18303,67000,OLDER FAMILIES,Premium
18304,67001,OLDER SINGLES/COUPLES,Premium
18305,67002,OLDER SINGLES/COUPLES,Premium
18306,67003,RETIREES,Budget
18307,67004,YOUNG SINGLES/COUPLES,Premium
18308,67005,OLDER SINGLES/COUPLES,Premium
18309,67006,OLDER SINGLES/COUPLES,Budget
18310,67007,OLDER FAMILIES,Budget
18311,67008,YOUNG FAMILIES,Mainstream
18312,67009,YOUNG SINGLES/COUPLES,Mainstream
18313,67010,RETIREES,Premium
18314,67011,OLDER SINGLES/COUPLES,Mainstream
18315,67012,YOUNG SINGLES/COUPLES,Mainstream
18316,67013,OLDER SINGLES/COUPLES,Premium
18317,67014,OLDER FAMILIES,Budget
18318,67015,OLDER FAMILIES,Mainstream
18319,67016,OLDER SINGLES/COUPLES,Budget
18320,67017,OLDER FAMILIES,Budget
18321,67018,RETIREES,Premium
18322,67019,YOUNG FAMILIES,Budget
18323,67020,NEW FAMILIES,Budget
18324,67021,MIDAGE SINGLES/COUPLES,Mainstream
18325,67022,NEW FAMILIES,Premium
18326,67023,OLDER SINGLES/COUPLES,Mainstream
18327,67024,OLDER SINGLES/COUPLES,Mainstream
18328,67025,YOUNG SINGLES/COUPLES,Budget
18329,67026,RETIREES,Mainstream
18330,67027,OLDER FAMILIES,Budget
18331,67028,NEW FAMILIES,Budget
18332,67029,OLDER FAMILIES,Budget
18333,67030,YOUNG FAMILIES,Mainstream
18334,67031,NEW FAMILIES,Premium
18335,67032,OLDER SINGLES/COUPLES,Premium
18336,67033,MIDAGE SINGLES/COUPLES,Mainstream
18337,67034,OLDER SINGLES/COUPLES,Budget
18338,67035,RETIREES,Mainstream
18339,67036,YOUNG FAMILIES,Premium
18340,67037,YOUNG SINGLES/COUPLES,Mainstream
18341,67038,RETIREES,Mainstream
18342,67039,OLDER FAMILIES,Budget
18343,67040,OLDER FAMILIES,Mainstream
18344,67041,YOUNG SINGLES/COUPLES,Mainstream
18345,67042,OLDER FAMILIES,Budget
18346,67043,OLDER SINGLES/COUPLES,Premium
18347,67044,OLDER FAMILIES,Budget
18348,67045,OLDER SINGLES/COUPLES,Premium
18349,67046,YOUNG FAMILIES,Budget
18350,67047,RETIREES,Mainstream
18351,67048,OLDER FAMILIES,Budget
18352,67049,RETIREES,Premium
18353,67050,RETIREES,Budget
18354,67051,OLDER SINGLES/COUPLES,Mainstream
18355,67052,OLDER FAMILIES,Mainstream
18356,67053,MIDAGE SINGLES/COUPLES,Budget
18357,67054,MIDAGE SINGLES/COUPLES,Premium
18358,67055,MIDAGE SINGLES/COUPLES,Mainstream
18359,67056,OLDER SINGLES/COUPLES,Premium
18360,67057,YOUNG SINGLES/COUPLES,Mainstream
18361,67058,OLDER FAMILIES,Mainstream
18362,67059,OLDER FAMILIES,Budget
18363,67060,RETIREES,Mainstream
18364,67061,OLDER FAMILIES,Premium
18365,67062,YOUNG FAMILIES,Budget
18366,67063,YOUNG SINGLES/COUPLES,Budget
18367,67064,NEW FAMILIES,Budget
18368,67065,OLDER FAMILIES,Budget
18369,67066,OLDER SINGLES/COUPLES,Mainstream
18370,67067,RETIREES,Budget
18371,67068,OLDER SINGLES/COUPLES,Budget
18372,67069,OLDER SINGLES/COUPLES,Budget
18373,67070,RETIREES,Premium
18374,67071,RETIREES,Budget
18375,67072,NEW FAMILIES,Budget
18376,67073,YOUNG SINGLES/COUPLES,Premium
18377,67074,OLDER FAMILIES,Mainstream
18378,67075,YOUNG FAMILIES,Budget
18379,67076,RETIREES,Mainstream
18380,67077,YOUNG FAMILIES,Budget
18381,67078,MIDAGE SINGLES/COUPLES,Premium
18382,67079,YOUNG FAMILIES,Premium
18383,67080,MIDAGE SINGLES/COUPLES,Premium
18384,67081,OLDER SINGLES/COUPLES,Budget
18385,67082,OLDER SINGLES/COUPLES,Budget
18386,67083,YOUNG FAMILIES,Mainstream
18387,67084,OLDER SINGLES/COUPLES,Premium
18388,67085,NEW FAMILIES,Budget
18389,67086,YOUNG SINGLES/COUPLES,Mainstream
18390,67087,OLDER FAMILIES,Premium
18391,67088,OLDER FAMILIES,Premium
18392,67089,NEW FAMILIES,Mainstream
18393,67090,OLDER SINGLES/COUPLES,Premium
18394,67091,YOUNG FAMILIES,Budget
18395,67092,OLDER FAMILIES,Mainstream
18396,67093,RETIREES,Mainstream
18397,67094,OLDER SINGLES/COUPLES,Mainstream
18398,67095,YOUNG FAMILIES,Mainstream
18399,67096,MIDAGE SINGLES/COUPLES,Mainstream
18400,67097,NEW FAMILIES,Premium
18401,67098,YOUNG FAMILIES,Budget
18402,67099,RETIREES,Premium
18403,67100,OLDER FAMILIES,Budget
18404,67101,RETIREES,Premium
18405,67102,OLDER SINGLES/COUPLES,Premium
18406,67103,RETIREES,Mainstream
18407,67104,MIDAGE SINGLES/COUPLES,Premium
18408,67105,YOUNG FAMILIES,Budget
18409,67106,YOUNG FAMILIES,Budget
18410,67107,MIDAGE SINGLES/COUPLES,Mainstream
18411,67108,RETIREES,Mainstream
18412,67109,RETIREES,Premium
18413,67110,YOUNG FAMILIES,Mainstream
18414,67111,YOUNG FAMILIES,Mainstream
18415,67112,YOUNG SINGLES/COUPLES,Budget
18416,67113,OLDER FAMILIES,Premium
18417,67114,OLDER SINGLES/COUPLES,Premium
18418,67115,YOUNG FAMILIES,Budget
18419,67116,OLDER FAMILIES,Mainstream
18420,67117,OLDER SINGLES/COUPLES,Premium
18421,67118,NEW FAMILIES,Mainstream
18422,67119,OLDER SINGLES/COUPLES,Mainstream
18423,67120,RETIREES,Budget
18424,67121,YOUNG SINGLES/COUPLES,Premium
18425,67122,RETIREES,Mainstream
18426,67123,RETIREES,Budget
18427,67124,YOUNG SINGLES/COUPLES,Mainstream
18428,67125,YOUNG FAMILIES,Mainstream
18429,67126,RETIREES,Budget
18430,67127,RETIREES,Budget
18431,67128,YOUNG FAMILIES,Mainstream
18432,67129,OLDER SINGLES/COUPLES,Mainstream
18433,67130,OLDER SINGLES/COUPLES,Premium
18434,67131,OLDER SINGLES/COUPLES,Premium
18435,67132,YOUNG FAMILIES,Budget
18436,67133,MIDAGE SINGLES/COUPLES,Premium
18437,67134,OLDER SINGLES/COUPLES,Budget
18438,67135,OLDER SINGLES/COUPLES,Budget
18439,67136,OLDER SINGLES/COUPLES,Budget
18440,67137,YOUNG FAMILIES,Premium
18441,67138,OLDER SINGLES/COUPLES,Mainstream
18442,67139,OLDER FAMILIES,Budget
18443,67140,NEW FAMILIES,Budget
18444,67141,RETIREES,Budget
18445,67142,YOUNG FAMILIES,Mainstream
18446,67143,OLDER SINGLES/COUPLES,Premium
18447,67144,RETIREES,Mainstream
18448,67145,YOUNG FAMILIES,Mainstream
18449,67146,RETIREES,Budget
18450,67147,YOUNG FAMILIES,Budget
18451,67148,OLDER SINGLES/COUPLES,Mainstream
18452,67149,RETIREES,Mainstream
18453,67150,YOUNG SINGLES/COUPLES,Premium
18454,67151,OLDER SINGLES/COUPLES,Premium
18455,67152,OLDER FAMILIES,Mainstream
18456,67153,OLDER SINGLES/COUPLES,Budget
18457,67154,OLDER SINGLES/COUPLES,Budget
18458,67155,YOUNG FAMILIES,Mainstream
18459,67156,MIDAGE SINGLES/COUPLES,Mainstream
18460,67157,OLDER SINGLES/COUPLES,Budget
18461,67158,YOUNG SINGLES/COUPLES,Mainstream
18462,67159,YOUNG FAMILIES,Budget
18463,67160,OLDER SINGLES/COUPLES,Budget
18464,67161,OLDER SINGLES/COUPLES,Budget
18465,67162,RETIREES,Budget
18466,67163,YOUNG FAMILIES,Budget
18467,67164,YOUNG FAMILIES,Mainstream
18468,67165,RETIREES,Premium
18469,67166,OLDER SINGLES/COUPLES,Mainstream
18470,67167,MIDAGE SINGLES/COUPLES,Mainstream
18471,67168,YOUNG SINGLES/COUPLES,Budget
18472,67169,YOUNG FAMILIES,Mainstream
18473,67170,OLDER SINGLES/COUPLES,Budget
18474,67171,OLDER SINGLES/COUPLES,Mainstream
18475,67172,OLDER SINGLES/COUPLES,Premium
18476,67173,YOUNG FAMILIES,Mainstream
18477,67174,YOUNG SINGLES/COUPLES,Mainstream
18478,67175,OLDER SINGLES/COUPLES,Premium
18479,67176,YOUNG FAMILIES,Premium
18480,67177,RETIREES,Budget
18481,67178,OLDER SINGLES/COUPLES,Premium
18482,67179,OLDER SINGLES/COUPLES,Budget
18483,67180,OLDER FAMILIES,Budget
18484,67181,YOUNG SINGLES/COUPLES,Budget
18485,67182,OLDER SINGLES/COUPLES,Premium
18486,67183,OLDER FAMILIES,Mainstream
18487,67184,YOUNG FAMILIES,Budget
18488,67185,OLDER FAMILIES,Budget
18489,67186,OLDER FAMILIES,Budget
18490,67187,OLDER SINGLES/COUPLES,Premium
18491,67188,OLDER SINGLES/COUPLES,Premium
18492,67189,YOUNG SINGLES/COUPLES,Budget
18493,67190,OLDER FAMILIES,Mainstream
18494,67191,RETIREES,Mainstream
18495,67192,OLDER SINGLES/COUPLES,Mainstream
18496,67193,OLDER FAMILIES,Premium
18497,67194,OLDER SINGLES/COUPLES,Budget
18498,67195,YOUNG SINGLES/COUPLES,Budget
18499,67196,YOUNG SINGLES/COUPLES,Premium
18500,67197,YOUNG FAMILIES,Budget
18501,67198,MIDAGE SINGLES/COUPLES,Premium
18502,67199,RETIREES,Budget
18503,67200,MIDAGE SINGLES/COUPLES,Mainstream
18504,67201,OLDER FAMILIES,Budget
18505,67202,OLDER FAMILIES,Budget
18506,67203,RETIREES,Mainstream
18507,67204,OLDER FAMILIES,Mainstream
18508,67205,OLDER FAMILIES,Premium
18509,67206,YOUNG FAMILIES,Mainstream
18510,67207,RETIREES,Mainstream
18511,67208,YOUNG FAMILIES,Budget
18512,67209,YOUNG SINGLES/COUPLES,Mainstream
18513,67210,YOUNG SINGLES/COUPLES,Budget
18514,67211,OLDER SINGLES/COUPLES,Premium
18515,67212,OLDER FAMILIES,Budget
18516,67213,MIDAGE SINGLES/COUPLES,Budget
18517,67214,OLDER SINGLES/COUPLES,Mainstream
18518,67215,OLDER SINGLES/COUPLES,Premium
18519,67216,RETIREES,Premium
18520,67217,RETIREES,Budget
18521,67218,OLDER SINGLES/COUPLES,Budget
18522,67219,RETIREES,Budget
18523,67220,RETIREES,Budget
18524,67221,OLDER SINGLES/COUPLES,Mainstream
18525,67222,YOUNG FAMILIES,Budget
18526,67223,OLDER FAMILIES,Mainstream
18527,67224,RETIREES,Budget
18528,67225,RETIREES,Mainstream
18529,67226,MIDAGE SINGLES/COUPLES,Mainstream
